Name,Artist,Album,Track Number
Kararsızım,Ebru Yaşar,Seviyorum Seni,7
Git Hadi Git,Ismail YK,Bombabomba.com,4
Vebal,Alişan,Seni Biraz Fazla Sevdim,3
Ölüm Var,Mahsun Kirmizigül,Yoruldum,3
Bozuk,Dogus,Bozuk,1
Sen Miydin,Adnan Senses,Adnan Şenses Klasikleri,6
Etek Sarı,Ceylan,Söyle,7
Bir Kalp Bos Kaldi,Ümit Besen,Nostalji,5
Aşksız Prens,Rober Hatemo,Aşksız Prens,3
Iona,Bergen,Bärenmann,8
Kadir Gecesi,Fatih Kisaparmak,"Mor Salkımlı Sokak, Vol. 1 (...Ve Senin Şiirlerim...)",5
Gözbebeğim,Baha,Aşk Yemini,2
Gitme Canım,Yurtseven Kardeşler,Of Anam Of,11
Bir Nefes,Yakup Ekin,Bir Nefes,1
Bir Ayrılığın İlk Günü (Sanırım),Ugur Arslan,Bir Ayrılığın İlk Günü,1
Sabiha,Murat Kursun,Sevenler Gece Ölür,11
Ölümsüz Sevdim,Arif Susam,Ölümsüz Sevdim,1
Çocuk Olmak,Ömer Danis,Gidiyorum - Sehir Duvarlari,3
Gurbet Treni,İbrahim Tatlıses,Dünü Ve Bugünü İle,9
Randevu,Hasan Yılmaz,Öptüm,2
Yastayım,Kibariye,Anlayamazsın,1
Sabır Lazım,Orhan Ölmez,Orhan Ölmez 2+20,10
Suzan Suzi,Nejat Alp,2006 Berlin Konseri,12
Hani nerde,Cankan,Ibret Olsun,6
Kabul,Emrah,Artı,5
Ahu Gözlüm,Gülden Karaböcek,Ahu Gözlüm - Artık Sorma Beni,1
Haktan,Niran Ünsal,Haktan,8
Mezarda Bitmez,Şahin,Sen Ölmeden Ölmeyecegim,1
Heves Mi Sandın,Etkin,Heves Mi Sandın,1
Ah Bu Sevda,Hakan Altun,Tercihimdir,9
Gül Dudaklım,Coskun Sabah,Bir Pazar Günü,17
Hadi Çıkta Gel,Ankaralı Namık,Arabada Beş Evde Onbeş,14
