Name,Artist,Album,Track Number
100 Years (Album Version),Five For Fighting,The Battle For Everything,4
Soldier,Gavin DeGraw,Sweeter,4
Half of My Heart,John Mayer,Battle Studies,3
Collide,Howie Day,Stop All The World Now,3
Summer Is Over (feat. Sara Bareilles),Jon McLaughlin,Promising Promises,3
93 Million Miles,Jason Mraz,Love Is A Four Letter Word (Deluxe),7
Bubbly,Colbie Caillat,Coco,4
Bad Day,Daniel Powter,Daniel Powter (Deluxe Version),4
Say Anything,Tristan Prettyman,Cedar + Gold,2
I Won't Let You Go,James Morrison,The Awakening,3
Mandolin Rain,Josh Kelley,Mandolin Rain,1
Iron Sky,Paolo Nutini,Iron Sky EP,1
Sink Or Swim,Tyrone Wells,Remain,4
Mr. Jones,Counting Crows,Films About Ghosts: The Best Of...,7
Bonfire Heart,James Blunt,Bonfire Heart,1
Sail Away,David Gray,Greatest Hits,9
Shooting Stars,Edwin McCain,Scream and Whisper,2
Half-Life (2006 Remastered Version),Duncan Sheik,Brighter/Later: A Duncan Sheik Anthology,10
Just Another (Album Version),Pete Yorn,Songs From Dawson's Creek - Vol. II,12
Run (feat. Sugarland),Matt Nathanson,Modern Love,8
Boston (Album Version),Augustana,All The Stars and Boulevards,4
Drops of Jupiter,Train,Drops Of Jupiter,3
Falling in Love at a Coffee Shop,Landon Pigg,The Boy Who Never,4
Uncharted (Album Version),Sara Bareilles,Kaleidoscope Heart,2
Simplify,Brendan James,Simplify,2
Closer (Album Version),Joshua Radin,We Were Here,5
Diamonds On the Inside,Ben Harper,Diamonds On The Inside,3
Closer To Love (Album Version),Mat Kearney,City Of Black & White,3
Windows Are Rolled Down,Amos Lee,Mission Bell,2
Move By Yourself,Donavon Frankenreiter,Move By Yourself,1
The Man Who Can't Be Moved,The Script,The Script,4
Save Tonight,Eagle-Eye Cherry,Desireless,1
Crash into Me,Dave Matthews Band,Crash,3
Love Somebody,Maroon 5,Overexposed,6
Watching You Watch Him,Eric Hutchinson,Watching You Watch Him,1
Something To Believe In (Album Version),Aqualung,Memory Man,3
Comeback Kid (That's My Dog),Brett Dennen,Loverboy,3
If You're Gone (Remastered Version),Matchbox Twenty,Exile On Mainstream,13
Send Somebody,Colin Hay,Gathering Mercury,1
Try Too Hard (Album Version),Teddy Geiger,Underage Thinking (Look Where We Are Now),8
How to Save a Life,The Fray,How To Save A Life,3
Dream Catch Me,Newton Faulkner,Hand Built By Robots,5
One Lovely Day,Citizen Cope,One Lovely Day,1
Down In A Cold Dirty Well,Justin Nozuka,Holly,1
Love and Affection,Matt White,Love and Affection,1
Do You Love Me,Guster,Easy Wonderful,2
Blue Eyes,Cary Brothers,Who You Are,12
Counting Stars,OneRepublic,"Impreska, Vol. 15",2
5:19,Matt Wertz,Everything in Between,5
Cold December,Matt Costa,Songs We Sing,1
Missing You,Tyler Hilton,Music From The WB Television Series One Tree Hill Volume 2: Friends With Benefit,8
Supernova,Ray LaMontagne,Supernova,1
Superman,Joe Brooks,Constellation Me,4
Here We Are,Patrick Park,Everyone's In Everyone,3
Until Next Time,Ari Hest,Sunset Over Hope Street,1
Photographs & Memories.,Jason Reeves,The Magnificent Adventures Of Heartache [And Other Frightening Tales...],14
Paper Bag (Album Version),Anna Nalick,Wreck of the Day,3
Manhattan From The Sky,Kate Voegele,A Fine Mess,7
All For You,Sister Hazel,...Somewhere More Familiar,3
Our Story,Graham Colton,Pacific Coast Eyes Vol. 2,17
Come To Me,The Goo Goo Dolls,Magnetic,5
Hollywood's Not America,Ferras,Aliens & Rainbows,4
The Wanderer,Marc Broussard,Carencro,9
Still Fighting It,Ben Folds,Rockin' The Suburbs,3
Be Be Your Love,Rachael Yamagata,Happenstance,1
Out Of The Dark,Matt Hires,Take Us To The Start,10
Where's The Love,Trevor Hall,Trevor Hall,7
Wherever You Will Go,The Calling,Camino Palmero,3
Opportunity,Pete Murray,See The Sun,1
40 Dogs (Like Romeo and Juliet),Bob Schneider,Lovely Creatures,3
All Will Be Well,The Gabe Dixon Band,The Gabe Dixon Band,4
All In My Head,Shawn Mullins,Honeydew,1
Real Love Can't Pretend,Griffin House,Balls,5
The Scientist,Coldplay,A Rush Of Blood To The Head,4
Why Do I,Joe Purdy,Only Four Seasons,4
Beautifully,Jay Brannan,Rob Me Blind,2
Broken,Lifehouse,Who We Are,5
Be Here Now,Mason Jennings,Boneclouds,1
Cradlesong,Rob Thomas,cradlesong,13
Pictures Of You,The Last Goodnight,Pictures Of You,1
Stay,Ben Jelen,Give It All Away,9
Suddenly I See,KT Tunstall,Eye To The Telescope,9
Beauty Queen (Album Version),Ben's Brother,Beta Male Fairytales,2
Last Train Home,Ryan Star,11:59,3
True,Ryan Cabrera,Take It All Away,3
Someday,Pat Monahan,Last Of Seven,4
Hurricane,Parachute,Hurricane,1
Miracle,Vertical Horizon,Everything You Want,7
Acapulco Gold,Johnathan Rice,Good Graces,1
A Drop In the Ocean,Ron Pope,Whatever It Takes,5
Seeing Through You,Blue Merle,Burning In The Sun,8
In The Sun,Joseph Arthur,Come To Where I'm From,1
Jumper (1998 Edit Version),Third Eye Blind,Third Eye Blind,4
Breaking the Rules,Jack Savoretti,Before the Storm,3
The Princess of Hollywood Way,Gary Jules,Trading Snakeoil for Wolftickets,9
Mirrors (feat. Fifth Harmony),Boyce Avenue,"Cover Collaborations, Vol. 2",10
Beautiful Pain,Keaton Simons,Beautiful Pain,4
"Lover, You Should've Come Over",Jeff Buckley,So Real: Songs From Jeff Buckley,2
Comes and Goes (In Waves),Greg Laswell,Three Flights from Alto Nido,4
Julie (Come Out of The Rain),Josh Rouse,The Happiness Waltz,1
Maybe,Ingrid Michaelson,Everybody,12
Sleeping With The Lights On,Teitur,Poetry & Airplanes,1
Better With You,Five Times August,The Independent (LP),2
The One,ross copperman,Holding On and Letting Go LP,3
Smoke And Ashes,Tracy Chapman,New Beginning,3
The Story,Brandi Carlile,The Story,2
Get Up,Alex Band,After the Storm,4
Save Me,Aimee Mann,Magnolia Soundtrack,9
Your Love,Marie Digby,Your Love,1
Good Life,Andy Davis,Fine China,1
The America Song,Stephen Kellogg,South of Stephen,8
Can't Go Back Now,The Weepies,Hideaway,1
Going To A Town,Rufus Wainwright,Release The Stars,2
Sovereign Light Café,Keane,Strangeland,5
Queen Of The City,Joshua James,From The Top Of Willamette Mountain,2
You Only Disappear,Tom McRae,Just Like Blood,2
Courage,Glen Phillips,Winter Pays For Summer,3
Carry Me Through,Dave Barnes,Me And You And The World,7
Happily Ever After,Tony Lucca,Shotgun,8
Burning The River,Pete Francis,Untold,2
Dancing Shoes,Green River Ordinance,The Morning Passengers EP - Acoustic Sessions,1
From Afar,Ingram Hill,Ingram Hill,5
